match_id,event,date,map_name,team,opponent,team_comp,opponent_comp,won
666495,VCT 2026: Pacific Stage 1,2026-05-09,Pearl,KIWOOM DRX,Nongshim RedForce,"Astra,Jett,Kayo,Killjoy,Tejo","Astra,Chamber,Fade,Neon,Phoenix",False
666495,VCT 2026: Pacific Stage 1,2026-05-09,Pearl,Nongshim RedForce,KIWOOM DRX,"Astra,Chamber,Fade,Neon,Phoenix","Astra,Jett,Kayo,Killjoy,Tejo",True
666495,VCT 2026: Pacific Stage 1,2026-05-09,Split,KIWOOM DRX,Nongshim RedForce,"Astra,Jett,Raze,Skye,Vyse","Fade,Neon,Omen,Viper,Yoru",True
666495,VCT 2026: Pacific Stage 1,2026-05-09,Split,Nongshim RedForce,KIWOOM DRX,"Fade,Neon,Omen,Viper,Yoru","Astra,Jett,Raze,Skye,Vyse",False
666495,VCT 2026: Pacific Stage 1,2026-05-09,Haven,KIWOOM DRX,Nongshim RedForce,"Cypher,Jett,Neon,Omen,Sova","Killjoy,Neon,Omen,Sova,Yoru",True
666495,VCT 2026: Pacific Stage 1,2026-05-09,Haven,Nongshim RedForce,KIWOOM DRX,"Killjoy,Neon,Omen,Sova,Yoru","Cypher,Jett,Neon,Omen,Sova",False
666496,VCT 2026: Pacific Stage 1,2026-05-10,Haven,T1,Rex Regum Qeon,"Chamber,Neon,Omen,Phoenix,Sova","Cypher,Neon,Omen,Sova,Waylay",True
666496,VCT 2026: Pacific Stage 1,2026-05-10,Haven,Rex Regum Qeon,T1,"Cypher,Neon,Omen,Sova,Waylay","Chamber,Neon,Omen,Phoenix,Sova",False
666496,VCT 2026: Pacific Stage 1,2026-05-10,Lotus,T1,Rex Regum Qeon,"Fade,Killjoy,Neon,Omen,Viper","Chamber,Fade,Neon,Omen,Viper",False
666496,VCT 2026: Pacific Stage 1,2026-05-10,Lotus,Rex Regum Qeon,T1,"Chamber,Fade,Neon,Omen,Viper","Fade,Killjoy,Neon,Omen,Viper",True
666496,VCT 2026: Pacific Stage 1,2026-05-10,Breeze,T1,Rex Regum Qeon,"Harbor,Kayo,Neon,Sova,Viper","Harbor,Kayo,Neon,Sova,Viper",True
666496,VCT 2026: Pacific Stage 1,2026-05-10,Breeze,Rex Regum Qeon,T1,"Harbor,Kayo,Neon,Sova,Viper","Harbor,Kayo,Neon,Sova,Viper",False
666497,VCT 2026: Pacific Stage 1,2026-05-10,Ascent,Paper Rex,KIWOOM DRX,"Omen,Sage,Sova,Vyse,Yoru","Jett,Omen,Sova,Vyse,Waylay",True
666497,VCT 2026: Pacific Stage 1,2026-05-10,Ascent,KIWOOM DRX,Paper Rex,"Jett,Omen,Sova,Vyse,Waylay","Omen,Sage,Sova,Vyse,Yoru",False
666497,VCT 2026: Pacific Stage 1,2026-05-10,Breeze,Paper Rex,KIWOOM DRX,"Jett,Neon,Omen,Sova,Viper","Harbor,Jett,Kayo,Sova,Viper",False
